First Amendment Highlights Tour,"July 8, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
First Amendment Highlights Tour,"July 9, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Holocaust: The Untold Story,"July 9, 2018 at 9:0 a.m.",The Newseum,"Hitler’s systematic extermination of six million Jews was not a secret. Details of the Nazi death camps were known as early as December 1942. Yet the American media — especially<br/><a href=""http://www.newseum.org/event/holocaust-the-untold-story/"">Read More</a>"
Gallery Experience: Georgia Saxelby on To Future Women,"July 9, 2018 at 10:0 a.m.",The Hirshhorn Museum and Sculpture Garden,
Le bon voyage:,"July 9, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 9, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 9, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Gallery Experience: To Future Women,"July 9, 2018 at 2:0 p.m.",The Hirshhorn Museum and Sculpture Garden,
Inside Media: CNN’s Jake Tapper,"July 9, 2018 at 2:30 p.m.",The Newseum,"CNN anchor and chief Washington correspondent Jake Tapper talks about his new novel, “The Hellfire Club,” a political thriller set in the 1950’s McCarthy Era in which figures such as<br/><a href=""http://www.newseum.org/event/inside-media-cnns-jake-tapper/"">Read More</a>"
First Amendment Highlights Tour,"July 10, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Holocaust: The Untold Story,"July 10, 2018 at 9:0 a.m.",The Newseum,"Hitler’s systematic extermination of six million Jews was not a secret. Details of the Nazi death camps were known as early as December 1942. Yet the American media — especially<br/><a href=""http://www.newseum.org/event/holocaust-the-untold-story/"">Read More</a>"
Circle Discussion: Archives &#038; Lullabies,"July 10, 2018 at 10:0 a.m.",The Hirshhorn Museum and Sculpture Garden,
Le bon voyage:,"July 10, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 10, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 10, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Artist Talk: Georg Baselitz,"July 10, 2018 at 3:0 p.m.",The Hirshhorn Museum and Sculpture Garden,
First Amendment Highlights Tour,"July 11, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
First Amendment Highlights Tour,"July 12, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
First Amendment Highlights Tour,"July 13, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Remembering the Legacy of Robert F. Kennedy,"July 14, 2018 at 7:0 a.m.",The Newseum,"Kerry Kennedy, daughter of Robert F. Kennedy, shares personal remembrances of her father and discusses the influence that he continues to have on the issues at the heart of America’s<br/><a href=""http://www.newseum.org/event/remembering-the-legacy-of-robert-f-kennedy/"">Read More</a>"
First Amendment Highlights Tour,"July 14, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Marking Our Time: Aboriginal Women Artists and Contemporary Art,"July 14, 2018 at 6:30 p.m.",The Phillips Collection,"<a href = ""https://www.phillipscollection/events/2018-06-14-lecture-marking-our-time"">Click here for more details</a>"
First Amendment Highlights Tour,"July 15, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
2018 Al Neuharth Free Spirit and Journalism Conference,"July 16, 2018 at 9:0 a.m.",The Newseum,"The annual Al Neuharth Free Spirit and Journalism Conference program targets rising high school seniors who are interested in pursuing a career in journalism and who demonstrate qualities of “free<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-free-spirit-and-journalism-conference/"">Read More</a>"
First Amendment Highlights Tour,"July 16, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Holocaust: The Untold Story,"July 16, 2018 at 9:0 a.m.",The Newseum,"Hitler’s systematic extermination of six million Jews was not a secret. Details of the Nazi death camps were known as early as December 1942. Yet the American media — especially<br/><a href=""http://www.newseum.org/event/holocaust-the-untold-story/"">Read More</a>"
Le bon voyage:,"July 16, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 16, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 16, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
2018 Al Neuharth Free Spirit and Journalism Conference,"July 17, 2018 at 9:0 a.m.",The Newseum,"The annual Al Neuharth Free Spirit and Journalism Conference program targets rising high school seniors who are interested in pursuing a career in journalism and who demonstrate qualities of “free<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-free-spirit-and-journalism-conference/"">Read More</a>"
First Amendment Highlights Tour,"July 17, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Holocaust: The Untold Story,"July 17, 2018 at 9:0 a.m.",The Newseum,"Hitler’s systematic extermination of six million Jews was not a secret. Details of the Nazi death camps were known as early as December 1942. Yet the American media — especially<br/><a href=""http://www.newseum.org/event/holocaust-the-untold-story/"">Read More</a>"
Le bon voyage:,"July 17, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 17, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 17, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
2018 Al Neuharth Free Spirit and Journalism Conference,"July 18, 2018 at 9:0 a.m.",The Newseum,"The annual Al Neuharth Free Spirit and Journalism Conference program targets rising high school seniors who are interested in pursuing a career in journalism and who demonstrate qualities of “free<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-free-spirit-and-journalism-conference/"">Read More</a>"
First Amendment Highlights Tour,"July 18, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
2018 Al Neuharth Award for Excellence in the Media,"July 18, 2018 at 6:30 p.m.",The Newseum,"Veteran sportscaster Lesley Visser is the recipient of the 2018 Al Neuharth Award for Excellence in The Media. The Al Neuharth Award for Excellence in The Media is named for<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-award-for-excellence-in-the-media/"">Read More</a>"
2018 Al Neuharth Free Spirit and Journalism Conference,"July 19, 2018 at 9:0 a.m.",The Newseum,"The annual Al Neuharth Free Spirit and Journalism Conference program targets rising high school seniors who are interested in pursuing a career in journalism and who demonstrate qualities of “free<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-free-spirit-and-journalism-conference/"">Read More</a>"
First Amendment Highlights Tour,"July 19, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
2018 Al Neuharth Free Spirit and Journalism Conference,"July 20, 2018 at 9:0 a.m.",The Newseum,"The annual Al Neuharth Free Spirit and Journalism Conference program targets rising high school seniors who are interested in pursuing a career in journalism and who demonstrate qualities of “free<br/><a href=""http://www.newseum.org/event/2018-al-neuharth-free-spirit-and-journalism-conference/"">Read More</a>"
First Amendment Highlights Tour,"July 20, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
